Done,To Do
full_moon_with_face,new_moon_with_face
smiley,no_mouth
business-maggie,goodmaggie
green_heart,heart
bell_pepper,hot_pepper
hatching_chick,egg
green_apple,tomato
full_moon,new_moon
white_check_mark,x
fire,thisisfine
full-fact,fakenews
full-fact,troll
here,away
partyblob,open_mouth
star,black_square
tulip,seedling
butterfly,bug
gratitude-thank-you,ok
city_sunrise,cityscape
partyparrot,oldtimeparrot
neutral_face,dotted_line_face
leadership,thought-leadership
car,vertical_traffic_light
brain,thought_balloon
smile,sweat_smile
deployed,deploying
eye-in-speech-bubble,left_speech_bubble
face_with_cowboy_hat,smiley
v,crossed_fingers
people_hugging,silhouettes
christmas_tree,evergreen_tree
droplet,ice_cube
house,bricks
tinned_food,tomato
knot,yarn
skier,ski
tornado,wind_blowing_face
frame_with_picture,artist
pig,pig_nose
clinking_glasses,champagne
telescope,milky_way
superhero,supervillain
nest_with_eggs,empty_nest
camel,dromedary_camel
fried_egg,egg
rocket,milky_way
